,File,Participant,ndarray,Segment,State
447,NonOverlap20080521AK_Segment_1_wake.mat,20080521AK,"[[ 1.         -0.39108965 -0.54809654 ... -0.4985207  -0.09020339
  -0.21168578]
 [-0.39108965  1.          0.47490472 ...  0.11079168  0.07420535
   0.13293603]
 [-0.54809654  0.47490472  1.         ...  0.24925838 -0.11140817
   0.23806056]
 ...
 [-0.4985207   0.11079168  0.24925838 ...  1.          0.30357188
  -0.0644023 ]
 [-0.09020339  0.07420535 -0.11140817 ...  0.30357188  1.
   0.19147447]
 [-0.21168578  0.13293603  0.23806056 ... -0.0644023   0.19147447
   1.        ]]",1,Wake
448,NonOverlap20080521AK_Segment_2_wake.mat,20080521AK,"[[ 1.         -0.0991554  -0.44828683 ... -0.1619427  -0.19813773
  -0.48640046]
 [-0.0991554   1.          0.09324686 ...  0.23246789 -0.14563935
  -0.05201336]
 [-0.44828683  0.09324686  1.         ...  0.31315443  0.13602379
   0.40249568]
 ...
 [-0.1619427   0.23246789  0.31315443 ...  1.          0.32508254
   0.36154467]
 [-0.19813773 -0.14563935  0.13602379 ...  0.32508254  1.
   0.57082784]
 [-0.48640046 -0.05201336  0.40249568 ...  0.36154467  0.57082784
   1.        ]]",2,Wake
449,NonOverlap20080521AK_Segment_3_wake.mat,20080521AK,"[[ 1.         -0.08742358 -0.3630987  ... -0.3204771  -0.11406572
  -0.12758742]
 [-0.08742358  1.          0.1910245  ... -0.02626446 -0.32400998
  -0.08929428]
 [-0.3630987   0.1910245   1.         ...  0.08042117 -0.06528658
  -0.23194927]
 ...
 [-0.3204771  -0.02626446  0.08042117 ...  1.          0.217418
   0.31683025]
 [-0.11406572 -0.32400998 -0.06528658 ...  0.217418    1.
   0.1109577 ]
 [-0.12758742 -0.08929428 -0.23194927 ...  0.31683025  0.1109577
   1.        ]]",3,Wake
450,NonOverlap20080521AK_Segment_4_wake.mat,20080521AK,"[[ 1.         -0.17830366 -0.14070034 ... -0.18639117  0.11193636
  -0.02861651]
 [-0.17830366  1.          0.19494036 ... -0.12162223  0.00599731
  -0.18367785]
 [-0.14070034  0.19494036  1.         ...  0.17617607 -0.15923499
   0.37122178]
 ...
 [-0.18639117 -0.12162223  0.17617607 ...  1.          0.31434608
   0.44965363]
 [ 0.11193636  0.00599731 -0.15923499 ...  0.31434608  1.
   0.48379955]
 [-0.02861651 -0.18367785  0.37122178 ...  0.44965363  0.48379955
   1.        ]]",4,Wake
451,NonOverlap20080528SW_Segment_1_wake.mat,20080528SW,"[[ 1.         -0.53902394  0.1559379  ... -0.04127735 -0.20943546
  -0.02377432]
 [-0.53902394  1.          0.20376486 ... -0.00949618  0.260405
  -0.05635957]
 [ 0.1559379   0.20376486  1.         ...  0.02891712 -0.29433677
  -0.2593967 ]
 ...
 [-0.04127735 -0.00949618  0.02891712 ...  1.          0.12722398
   0.23584254]
 [-0.20943546  0.260405   -0.29433677 ...  0.12722398  1.
   0.28573957]
 [-0.02377432 -0.05635957 -0.2593967  ...  0.23584254  0.28573957
   1.        ]]",1,Wake
452,NonOverlap20080528SW_Segment_2_wake.mat,20080528SW,"[[ 1.         -0.44777933  0.11373994 ... -0.10272892 -0.4649864
  -0.4029001 ]
 [-0.44777933  1.          0.21650405 ...  0.04770872 -0.07079587
  -0.01381602]
 [ 0.11373994  0.21650405  1.         ... -0.07795274 -0.09563336
  -0.00860297]
 ...
 [-0.10272892  0.04770872 -0.07795274 ...  1.          0.12969874
   0.2534558 ]
 [-0.4649864  -0.07079587 -0.09563336 ...  0.12969874  1.
   0.29375076]
 [-0.4029001  -0.01381602 -0.00860297 ...  0.2534558   0.29375076
   1.        ]]",2,Wake
453,NonOverlap20080528SW_Segment_3_wake.mat,20080528SW,"[[ 1.         -0.41604635  0.10215751 ... -0.17554986 -0.30561823
  -0.2230632 ]
 [-0.41604635  1.         -0.26618326 ...  0.17446539  0.14380796
   0.23228648]
 [ 0.10215751 -0.26618326  1.         ...  0.22405425 -0.09323882
  -0.29631633]
 ...
 [-0.17554986  0.17446539  0.22405425 ...  1.          0.04465759
   0.08356234]
 [-0.30561823  0.14380796 -0.09323882 ...  0.04465759  1.
   0.03237442]
 [-0.2230632   0.23228648 -0.29631633 ...  0.08356234  0.03237442
   1.        ]]",3,Wake
454,NonOverlap20080528SW_Segment_4_wake.mat,20080528SW,"[[ 1.          0.11562802  0.27401498 ... -0.23453167 -0.32585022
  -0.26142976]
 [ 0.11562802  1.          0.05305724 ... -0.05543617  0.02843231
  -0.1452328 ]
 [ 0.27401498  0.05305724  1.         ... -0.3204825  -0.03946569
  -0.1576945 ]
 ...
 [-0.23453167 -0.05543617 -0.3204825  ...  1.         -0.04051993
   0.2899422 ]
 [-0.32585022  0.02843231 -0.03946569 ... -0.04051993  1.
  -0.00681522]
 [-0.26142976 -0.1452328  -0.1576945  ...  0.2899422  -0.00681522
   1.        ]]",4,Wake
455,NonOverlap20080528SW_Segment_5_wake.mat,20080528SW,"[[ 1.0000000e+00 -3.5613495e-01  2.1173704e-02 ... -9.5280714e-04
  -3.7022853e-01  1.8481412e-03]
 [-3.5613495e-01  1.0000000e+00  1.0611996e-01 ...  1.4820814e-01
  -2.2029050e-02  2.9857266e-01]
 [ 2.1173704e-02  1.0611996e-01  1.0000000e+00 ...  8.4135286e-04
  -1.5257855e-01  1.3862167e-02]
 ...
 [-9.5280714e-04  1.4820814e-01  8.4135286e-04 ...  1.0000000e+00
   4.4669341e-02  2.7233750e-01]
 [-3.7022853e-01 -2.2029050e-02 -1.5257855e-01 ...  4.4669341e-02
   1.0000000e+00  5.8506113e-02]
 [ 1.8481412e-03  2.9857266e-01  1.3862167e-02 ...  2.7233750e-01
   5.8506113e-02  1.0000000e+00]]",5,Wake
456,NonOverlap20080528SW_Segment_6_wake.mat,20080528SW,"[[ 1.         -0.6090014   0.11951381 ... -0.06918139 -0.10781134
  -0.19062349]
 [-0.6090014   1.          0.05257429 ... -0.06935389  0.23802838
   0.00709536]
 [ 0.11951381  0.05257429  1.         ... -0.18110171  0.19625053
  -0.25856975]
 ...
 [-0.06918139 -0.06935389 -0.18110171 ...  1.          0.03668687
   0.2875107 ]
 [-0.10781134  0.23802838  0.19625053 ...  0.03668687  1.
   0.29471666]
 [-0.19062349  0.00709536 -0.25856975 ...  0.2875107   0.29471666
   1.        ]]",6,Wake
